codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
901008,,22,-23.000715,-43.366197,2023-07-23 17:26:37,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22273.5, 
901011,RIV8A74,22,-23.000904,-43.366204,2023-07-23 08:16:30,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22960.0, 
901018,,51,-22.965209,-43.391207,2023-07-23 10:51:41,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2502.1, 
901012,,52,-22.86215,-43.400436,2023-07-23 19:29:04,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],20995.6,59
901014,,22,-23.001078,-43.36586,2023-07-23 17:42:17,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],35216.5, 
901007,,52,-23.000739,-43.368754,2023-07-23 19:28:35,34.5,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],21335.1,131
901009,,40,-23.000876,-43.366397,2023-07-23 17:18:36,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],20387.9, 
901013,,22,-22.96528,-43.39162,2023-07-23 19:28:55,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],31071.5,153
901010,RJM8G30,22,-23.000741,-43.366094,2023-07-23 18:27:57,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22552.0, 
901015,,51,-22.965392,-43.391685,2023-07-23 18:28:52,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],13414.1, 
901047,,51,-22.965178,-43.391365,2023-07-23 18:55:23,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],44827.9, 
901017,,22,-23.000792,-43.366367,2023-07-22 22:38:35,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],24816.3, 
901063,,51,-22.964749,-43.392002,2023-07-23 14:42:32,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],47953.8,342
901006,RJA9F56,22,-23.000758,-43.366247,2023-07-23 18:36:22,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19011.6, 
901005,RJB8E53,22,-23.000973,-43.364852,2023-07-23 19:05:49,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21006.6, 
901004,RJQ8J80,0,-22.965596,-43.391616,2023-07-23 19:28:40,0.0,,,,20877.9,342
902095,,35,-22.842676,-43.253896,2023-07-22 20:38:01,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7511.5, 
30504,,0,-22.919285,-43.607899,2023-07-23 18:01:09,0.0,,,,53125.1, 
