codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
901008,,40,-23.000894,-43.366191,2023-07-25 21:58:27,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],22782.6,86
901011,RIV8A74,0,-22.973278,-43.379373,2023-07-25 22:53:03,52.6,,,,23494.7,90
901018,,51,-23.000075,-43.356425,2023-07-24 17:24:22,48.3,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2502.1,95
901012,,40,-23.00085,-43.365943,2023-07-25 21:57:28,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],21293.4, 
901014,,40,-22.973237,-43.379397,2023-07-25 22:53:17,50.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],35636.6,90
901007,,40,-22.965215,-43.391257,2023-07-25 22:15:01,0.8,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],21810.5,44
901009,,52,-23.000894,-43.365174,2023-07-25 22:30:45,0.0,,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],20863.0,140
901013,,22,-23.000939,-43.36618,2023-07-25 22:53:04,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],31578.8,253
901010,RJM8G30,22,-23.000931,-43.365207,2023-07-25 22:43:46,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22869.3, 
901015,,51,-22.964553,-43.391736,2023-07-25 22:12:39,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],14154.3, 
901047,,53,-22.984703,-43.365863,2023-07-25 22:52:57,34.6,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],45315.8,186
901017,,22,-23.000679,-43.366068,2023-07-25 21:05:34,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25122.4, 
901063,,51,-23.008038,-43.43919,2023-07-25 22:53:04,23.6,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],48862.3,239
901006,RJA9F56,22,-23.000698,-43.366358,2023-07-25 22:11:06,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19377.0, 
901005,RJB8E53,22,-23.000154,-43.351378,2023-07-25 22:53:01,36.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21610.4,90
901004,RJQ8J80,53,-22.948005,-43.391642,2023-07-25 22:53:07,54.3,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],21373.9,122
902095,,35,-22.842676,-43.253896,2023-07-22 20:38:01,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7511.5, 
30504,,10,-22.916719,-43.60695,2023-07-25 21:09:02,6.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],53581.6,1
47031,KYW5240,20,-22.916295,-43.607222,2023-07-25 22:53:18,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],50862.9,87
30533,KWO8120,13,-22.957113,-43.649785,2023-07-25 22:53:11,48.7,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],52576.6,8
47027,KRR2119,20,-22.934878,-43.668038,2023-07-18 18:10:03,49.2,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],1004.1,310
86840,KOS9769,13,-22.919551,-43.607877,2023-04-21 02:01:35,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],778.8, 
30538,KXE7719,0,-22.916756,-43.607116,2023-07-25 21:40:24,5.7,,,,55833.1,359
13412,KPY9734,0,-22.964632,-43.391762,2023-07-25 22:44:34,0.0,,,,44900.6, 
50309,KPN6B05,12,-22.919948,-43.607325,2023-07-25 22:25:40,11.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],20048.1,89
12702,KXB8152,25,-22.919625,-43.608713,2023-07-04 23:11:48,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],27817.4, 
12706,KXB8938,10,-22.920521,-43.607432,2023-03-31 08:02:04,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4060.2, 
47025,KXE8652,13,-22.919881,-43.607336,2023-07-07 14:18:49,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],38341.5, 
30532,KYL8599,12,-23.020456,-43.491035,2023-07-25 22:53:18,39.8,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],41703.8,259
13423,LSI5976,25,-23.000939,-43.367669,2023-07-25 22:39:30,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],41101.4, 
13403,LTF5447,25,-23.000622,-43.364877,2023-07-25 22:39:12,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],53184.1,80
