codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
901008,,22,-23.000132,-43.346713,2023-07-24 22:48:17,9.3,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22562.1,267
901011,RIV8A74,22,-23.006657,-43.311818,2023-07-24 22:48:31,17.5,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],23245.3,274
901018,,51,-23.000075,-43.356425,2023-07-24 17:24:22,48.3,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2502.1,95
901012,,52,-22.965158,-43.391213,2023-07-24 21:53:57,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],21068.0, 
901014,,0,-22.965042,-43.391319,2023-07-24 22:34:23,0.6,,,,35428.9,63
901007,,22,-23.001025,-43.365236,2023-07-24 22:48:04,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21677.0,281
901009,,22,-22.965121,-43.391242,2023-07-24 22:38:02,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],20609.1,71
901013,,40,-22.964989,-43.391901,2023-07-24 22:48:22,4.2,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],31303.2,354
901010,RJM8G30,22,-23.000735,-43.366185,2023-07-24 19:52:14,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22632.3,51
901015,,51,-23.000909,-43.365054,2023-07-24 22:47:04,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],13723.5, 
901047,,40,-22.964541,-43.391824,2023-07-24 22:16:52,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],44910.5, 
901017,,22,-23.000743,-43.36641,2023-07-24 20:22:44,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],24963.5,49
901063,,51,-22.863338,-43.403043,2023-07-24 22:48:26,54.7,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],48333.8,63
901006,RJA9F56,52,-23.000929,-43.365929,2023-07-24 22:15:33,0.0,,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],19210.4,89
901005,RJB8E53,22,-23.004902,-43.320304,2023-07-24 22:48:20,49.9,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21294.0,115
901004,RJQ8J80,40,-23.000712,-43.368002,2023-07-24 22:29:32,24.5,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],21104.2,73
902095,,35,-22.842676,-43.253896,2023-07-22 20:38:01,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7511.5, 
30504,,20,-22.920755,-43.607944,2023-07-24 22:48:30,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],53348.3, 
47031,KYW5240,10,-23.000765,-43.367298,2023-07-24 21:45:03,12.2,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],50529.1,131
